labTestId:ID,itemId,label,fluid,category,:LABEL
lt_50808,50808,Free Calcium,Blood,Blood Gas,LabTest
lt_50826,50826,Tidal Volume,Blood,Blood Gas,LabTest
lt_50813,50813,Lactate,Blood,Blood Gas,LabTest
lt_52029,52029,% Ionized Calcium,Blood,Blood Gas,LabTest
lt_50801,50801,Alveolar-arterial Gradient,Blood,Blood Gas,LabTest
lt_50810,50810,"Hematocrit, Calculated",Blood,Blood Gas,LabTest
lt_52025,52025,Delete,Blood,Blood Gas,LabTest
lt_52031,52031,Osmolality,Blood,Blood Gas,LabTest
lt_52022,52022,"Albumin, Blood",Blood,Blood Gas,LabTest
lt_50806,50806,"Chloride, Whole Blood",Blood,Blood Gas,LabTest
lt_50820,50820,pH,Blood,Blood Gas,LabTest
lt_52028,52028,Hematocrit,Blood,Blood Gas,LabTest
lt_52036,52036,Voided Specimen,Blood,Blood Gas,LabTest
lt_50812,50812,Intubated,Blood,Blood Gas,LabTest
lt_50817,50817,Oxygen Saturation,Blood,Blood Gas,LabTest
lt_52035,52035,Total Calcium,Blood,Blood Gas,LabTest
lt_50823,50823,Required O2,Blood,Blood Gas,LabTest
lt_52024,52024,"Creatinine, Whole Blood",Blood,Blood Gas,LabTest
lt_52037,52037,WB tCO2,Blood,Blood Gas,LabTest
lt_50815,50815,O2 Flow,Blood,Blood Gas,LabTest
lt_52452,52452,"Potassium, Whole Blood",Blood,Blood Gas,LabTest
lt_50804,50804,Calculated Total CO2,Blood,Blood Gas,LabTest
lt_52030,52030,Lithium,Blood,Blood Gas,LabTest
lt_50811,50811,Hemoglobin,Blood,Blood Gas,LabTest
lt_50824,50824,"Sodium, Whole Blood",Blood,Blood Gas,LabTest
lt_52033,52033,Specimen Type,Blood,Blood Gas,LabTest
lt_52027,52027,"Glucose, Whole Blood",Blood,Blood Gas,LabTest
lt_50802,50802,Base Excess,Blood,Blood Gas,LabTest
lt_50814,50814,Methemoglobin,Blood,Blood Gas,LabTest
lt_52034,52034,Total Calcium,Blood,Blood Gas,LabTest
lt_52442,52442,Lactate,Blood,Blood Gas,LabTest
lt_50818,50818,pCO2,Blood,Blood Gas,LabTest
lt_50828,50828,Ventilator,Blood,Blood Gas,LabTest
lt_50809,50809,Glucose,Blood,Blood Gas,LabTest
lt_50821,50821,pO2,Blood,Blood Gas,LabTest
lt_52026,52026,Estimated GFR (MDRD equation),Blood,Blood Gas,LabTest
lt_52434,52434,"Chloride, Whole Blood",Blood,Blood Gas,LabTest
lt_50803,50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,LabTest
lt_52023,52023,Assist/Control,Blood,Blood Gas,LabTest
lt_50822,50822,"Potassium, Whole Blood",Blood,Blood Gas,LabTest
lt_50827,50827,Ventilation Rate,Blood,Blood Gas,LabTest
lt_52032,52032,P50 of Hemoglobin,Blood,Blood Gas,LabTest
lt_50819,50819,PEEP,Blood,Blood Gas,LabTest
lt_52021,52021,Abz,Blood,Blood Gas,LabTest
lt_50805,50805,Carboxyhemoglobin,Blood,Blood Gas,LabTest
lt_50816,50816,Oxygen,Blood,Blood Gas,LabTest
lt_50825,50825,Temperature,Blood,Blood Gas,LabTest
lt_52455,52455,"Sodium, Whole Blood",Blood,Blood Gas,LabTest
lt_52039,52039,Calculated Bicarbonate,Fluid,Blood Gas,LabTest
lt_52042,52042,pO2,Fluid,Blood Gas,LabTest
lt_52040,52040,pCO2,Fluid,Blood Gas,LabTest
lt_52038,52038,Base Excess,Fluid,Blood Gas,LabTest
lt_52041,52041,pH,Fluid,Blood Gas,LabTest
lt_52045,52045,"pH, Urine",Urine,Blood Gas,LabTest
lt_52044,52044,"Osmolality, Urine",Urine,Blood Gas,LabTest
lt_52047,52047,"Sodium, Urine",Urine,Blood Gas,LabTest
lt_52046,52046,"Potassium, Urine",Urine,Blood Gas,LabTest
lt_52043,52043,Voided Specimen,Other Body Fluid,Blood Gas,LabTest
lt_50829,50829,Fluid Type,Other Body Fluid,Blood Gas,LabTest
lt_50833,50833,Potassium,Other Body Fluid,Blood Gas,LabTest
lt_50834,50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas,LabTest
lt_50832,50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas,LabTest
lt_50831,50831,pH,Other Body Fluid,Blood Gas,LabTest
lt_50830,50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,LabTest
lt_50858,50858,Acid Phosphatase,Blood,Chemistry,LabTest
lt_50879,50879,Barbiturate Screen,Blood,Chemistry,LabTest
lt_50900,50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry,LabTest
lt_50914,50914,Cyclosporin,Blood,Chemistry,LabTest
lt_51582,51582,CH50,Blood,Chemistry,LabTest
lt_51615,51615,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry,LabTest
lt_51672,51672,Immune Complexes,Blood,Chemistry,LabTest
lt_51685,51685,Lidocaine,Blood,Chemistry,LabTest
lt_51755,51755,White Blood Cells,Blood,Chemistry,LabTest
lt_51773,51773,RFXFRKL,Blood,Chemistry,LabTest
lt_53153,53153,HIV Screen,Blood,Chemistry,LabTest
lt_50925,50925,Folate,Blood,Chemistry,LabTest
lt_50927,50927,Gamma Glutamyltransferase,Blood,Chemistry,LabTest
lt_50953,50953,"Iron Binding Capacity, Total",Blood,Chemistry,LabTest
lt_51007,51007,Uric Acid,Blood,Chemistry,LabTest
lt_51670,51670,Icd9,Blood,Chemistry,LabTest
lt_51740,51740,Toxic Screen,Blood,Chemistry,LabTest
lt_51743,51743,Toxoplasma IgM Ab,Blood,Chemistry,LabTest
lt_51757,51757,Xxx,Blood,Chemistry,LabTest
lt_53146,53146,Anti Hav,Blood,Chemistry,LabTest
lt_50854,50854,Absolute A1c,Blood,Chemistry,LabTest
lt_50887,50887,Blue Top Hold,Blood,Chemistry,LabTest
lt_50945,50945,Homocysteine,Blood,Chemistry,LabTest
lt_50958,50958,Luteinizing Hormone,Blood,Chemistry,LabTest
lt_50993,50993,Thyroid Stimulating Hormone,Blood,Chemistry,LabTest
lt_51557,51557,Anti-Microsomal Antibody,Blood,Chemistry,LabTest
lt_51659,51659,HPE3,Blood,Chemistry,LabTest
lt_51683,51683,"LD, Isoenzyme 4",Blood,Chemistry,LabTest
lt_51693,51693,Mumps IgG Ab,Blood,Chemistry,LabTest
lt_51709,51709,Quantitative RPR Test,Blood,Chemistry,LabTest
lt_51734,51734,STX3,Blood,Chemistry,LabTest
lt_50870,50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry,LabTest
lt_50979,50979,Red Top Hold,Blood,Chemistry,LabTest
lt_51010,51010,Vitamin B12,Blood,Chemistry,LabTest
lt_50893,50893,"Calcium, Total",Blood,Chemistry,LabTest
lt_50899,50899,Carbamazepine,Blood,Chemistry,LabTest
lt_51567,51567,Beta Hydroxybutyrate,Blood,Chemistry,LabTest
lt_51580,51580,Calculated CK-MB,Blood,Chemistry,LabTest
lt_51629,51629,Fructosamine Plus,Blood,Chemistry,LabTest
lt_51658,51658,HPE2,Blood,Chemistry,LabTest
lt_51681,51681,"LD, Isoenzyme 2",Blood,Chemistry,LabTest
lt_51695,51695,Myoglobin,Blood,Chemistry,LabTest
lt_51724,51724,Rubella IgG Ab,Blood,Chemistry,LabTest
lt_51756,51756,White Blood Cells,Blood,Chemistry,LabTest
lt_50866,50866,Ammonia,Blood,Chemistry,LabTest
lt_50871,50871,Anti-Mitochondrial Antibody,Blood,Chemistry,LabTest
lt_50918,50918,Double Stranded DNA,Blood,Chemistry,LabTest
lt_51625,51625,Free Kappa,Blood,Chemistry,LabTest
lt_51641,51641,Hemoglobin  A,Blood,Chemistry,LabTest
lt_50869,50869,Anti-DGP (IgA/IgG),Blood,Chemistry,LabTest
lt_50936,50936,"HCG, Maternal Screen",Blood,Chemistry,LabTest
lt_50977,50977,Quinidine,Blood,Chemistry,LabTest
lt_50991,50991,Thyroglobulin,Blood,Chemistry,LabTest
lt_51590,51590,CMV Interpretation,Blood,Chemistry,LabTest
lt_51651,51651,Hepatitis C Viral Load,Blood,Chemistry,LabTest
lt_51708,51708,Qnthbsab,Blood,Chemistry,LabTest
lt_53086,53086,Alkaline Phosphatase,Blood,Chemistry,LabTest
lt_50960,50960,Magnesium,Blood,Chemistry,LabTest
lt_51009,51009,Vancomycin,Blood,Chemistry,LabTest
lt_51633,51633,Hbeag,Blood,Chemistry,LabTest
lt_51742,51742,Toxoplasma IgG Ab Value,Blood,Chemistry,LabTest
lt_50915,50915,D-Dimer,Blood,Chemistry,LabTest
lt_50983,50983,Sodium,Blood,Chemistry,LabTest
lt_51589,51589,CMV IgM Ab Value,Blood,Chemistry,LabTest
lt_51597,51597,Cvhlc,Blood,Chemistry,LabTest
lt_51640,51640,Hemoglobin,Blood,Chemistry,LabTest
lt_51660,51660,HPE4,Blood,Chemistry,LabTest
lt_52562,52562,Folate,Blood,Chemistry,LabTest
lt_50917,50917,Digoxin,Blood,Chemistry,LabTest
lt_51569,51569,"Bilirubin, Neonatal, Direct",Blood,Chemistry,LabTest
lt_51729,51729,Serum B12,Blood,Chemistry,LabTest
lt_51732,51732,STX1,Blood,Chemistry,LabTest
lt_52500,52500,Anion Gap,Blood,Chemistry,LabTest
lt_53088,53088,Asparate Aminotransferase,Blood,Chemistry,LabTest
lt_50923,50923,Fax,Blood,Chemistry,LabTest
lt_50926,50926,Follicle Stimulating Hormone,Blood,Chemistry,LabTest
lt_50949,50949,Immunoglobulin A,Blood,Chemistry,LabTest
lt_50965,50965,Parathyroid Hormone,Blood,Chemistry,LabTest
lt_50980,50980,Rheumatoid Factor,Blood,Chemistry,LabTest
lt_50981,50981,Salicylate,Blood,Chemistry,LabTest
lt_50986,50986,tacroFK,Blood,Chemistry,LabTest
lt_51585,51585,Clostrid,Blood,Chemistry,LabTest
lt_51604,51604,Delete,Blood,Chemistry,LabTest
lt_51620,51620,Epstein-Barr Virus VCA IgM Ab,Blood,Chemistry,LabTest
lt_51650,51650,Hepatitis B Virus E Antigen,Blood,Chemistry,LabTest
lt_51686,51686,Lip2,Blood,Chemistry,LabTest
lt_51689,51689,Lyme G and M Value,Blood,Chemistry,LabTest
lt_51710,51710,Rapid Plasma Reagin Test,Blood,Chemistry,LabTest
lt_51741,51741,Toxoplasma IgG Ab,Blood,Chemistry,LabTest
lt_51772,51772,PAN3,Blood,Chemistry,LabTest
lt_50905,50905,"Cholesterol, LDL, Calculated",Blood,Chemistry,LabTest
lt_50928,50928,Gastrin,Blood,Chemistry,LabTest
lt_50948,50948,Immunofixation,Blood,Chemistry,LabTest
lt_50964,50964,"Osmolality, Measured",Blood,Chemistry,LabTest
lt_51634,51634,Hbsag,Blood,Chemistry,LabTest
lt_51657,51657,HPE1,Blood,Chemistry,LabTest
lt_51673,51673,Immunoelectrophoresis,Blood,Chemistry,LabTest
lt_51759,51759,Z,Blood,Chemistry,LabTest
lt_50895,50895,Calculated TBG,Blood,Chemistry,LabTest
lt_51687,51687,Lipo Electrophoresis,Blood,Chemistry,LabTest
lt_51745,51745,Toxoplasma Interpretation,Blood,Chemistry,LabTest
lt_53140,53140,Aldosterone,Blood,Chemistry,LabTest
lt_50997,50997,Tobramycin,Blood,Chemistry,LabTest
lt_51568,51568,"Bilirubin, Neonatal",Blood,Chemistry,LabTest
lt_51577,51577,C5,Blood,Chemistry,LabTest
lt_51592,51592,Conj Bili,Blood,Chemistry,LabTest
lt_51594,51594,"Creatine Kinase, Isoenzyme BB",Blood,Chemistry,LabTest
lt_51602,51602,Delete,Blood,Chemistry,LabTest
lt_51774,51774,RFXHCV,Blood,Chemistry,LabTest
lt_50876,50876,Anti-Smooth Muscle Antibody,Blood,Chemistry,LabTest
lt_50894,50894,Calculated Free Testosterone,Blood,Chemistry,LabTest
lt_50955,50955,Light Green Top Hold,Blood,Chemistry,LabTest
lt_51583,51583,Chol Estr,Blood,Chemistry,LabTest
lt_51700,51700,Np-fx,Blood,Chemistry,LabTest
lt_51713,51713,Reflex Confirmatory Hepatitis C Viral Load,Blood,Chemistry,LabTest
lt_51748,51748,Treponema pallidum (Syphilis) Ab,Blood,Chemistry,LabTest
lt_53150,53150,Anti Hbs,Blood,Chemistry,LabTest
lt_50942,50942,Hepatitis B Virus Core Antibody,Blood,Chemistry,LabTest
lt_50950,50950,Immunoglobulin G,Blood,Chemistry,LabTest
lt_50974,50974,Prostate Specific Antigen,Blood,Chemistry,LabTest
lt_50999,50999,Tricyclic Antidepressant Screen,Blood,Chemistry,LabTest
lt_51004,51004,"UE3, Maternal Screen",Blood,Chemistry,LabTest
lt_51559,51559,Anti-ro,Blood,Chemistry,LabTest
lt_51564,51564,ARCH-1,Blood,Chemistry,LabTest
lt_51596,51596,"Creatine Kinase, Isoenzyme MM",Blood,Chemistry,LabTest
lt_51611,51611,Down Syndrome Risk,Blood,Chemistry,LabTest
lt_51676,51676,Insulin,Blood,Chemistry,LabTest
lt_51749,51749,Treponema pallidum (syphilis) value,Blood,Chemistry,LabTest
lt_50852,50852,% Hemoglobin A1c,Blood,Chemistry,LabTest
lt_50886,50886,Blood Culture Hold,Blood,Chemistry,LabTest
lt_51581,51581,Carotene,Blood,Chemistry,LabTest
lt_51720,51720,Reserved4,Blood,Chemistry,LabTest
lt_51752,51752,Voided Specimen,Blood,Chemistry,LabTest
lt_53144,53144,ANCA Titer,Blood,Chemistry,LabTest
lt_50902,50902,Chloride,Blood,Chemistry,LabTest
lt_50972,50972,Procainamide,Blood,Chemistry,LabTest
lt_50973,50973,Prolactin,Blood,Chemistry,LabTest
lt_50976,50976,"Protein, Total",Blood,Chemistry,LabTest
lt_51560,51560,Anti-SARS-CoV-2 IgA,Blood,Chemistry,LabTest
lt_51613,51613,eAG,Blood,Chemistry,LabTest
lt_51628,51628,Fructosamine,Blood,Chemistry,LabTest
lt_51635,51635,Hbsag,Blood,Chemistry,LabTest
lt_51638,51638,Hematocrit,Blood,Chemistry,LabTest
lt_51712,51712,Referred,Blood,Chemistry,LabTest
lt_51738,51738,Thyroid Binding Globulin,Blood,Chemistry,LabTest
lt_53084,53084,Alanine Aminotransferase,Blood,Chemistry,LabTest
lt_50868,50868,Anion Gap,Blood,Chemistry,LabTest
lt_50874,50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,LabTest
lt_50922,50922,Ethanol,Blood,Chemistry,LabTest
lt_50966,50966,Phenobarbital,Blood,Chemistry,LabTest
lt_50998,50998,Transferrin,Blood,Chemistry,LabTest
lt_51637,51637,"HCG, Qualitative",Blood,Chemistry,LabTest
lt_51667,51667,H. pylori IgG Ab Value,Blood,Chemistry,LabTest
lt_51696,51696,Neural Tube Defect Risk,Blood,Chemistry,LabTest
lt_52610,52610,Potassium,Blood,Chemistry,LabTest
lt_50883,50883,"Bilirubin, Direct",Blood,Chemistry,LabTest
lt_51576,51576,C2,Blood,Chemistry,LabTest
lt_51692,51692,"Monospot, Rapid Antigen",Blood,Chemistry,LabTest
lt_51699,51699,Not Done,Blood,Chemistry,LabTest
lt_51761,51761,Zinc,Blood,Chemistry,LabTest
lt_50861,50861,Alanine Aminotransferase (ALT),Blood,Chemistry,LabTest
lt_50863,50863,Alkaline Phosphatase,Blood,Chemistry,LabTest
lt_50881,50881,Beta-2 Microglobulin,Blood,Chemistry,LabTest
lt_50913,50913,Cryoglobulin,Blood,Chemistry,LabTest
lt_51572,51572,Bioavailable Testosterone,Blood,Chemistry,LabTest
lt_51631,51631,Glycated Hemoglobin,Blood,Chemistry,LabTest
lt_51636,51636,"HCG, Multiples of Median",Blood,Chemistry,LabTest
lt_51649,51649,Hepatitis B Virus E Antibody,Blood,Chemistry,LabTest
lt_51767,51767,EE5,Blood,Chemistry,LabTest
lt_50896,50896,Calculated Thyroxine (T4) Index,Blood,Chemistry,LabTest
lt_50930,50930,Globulin,Blood,Chemistry,LabTest
lt_50933,50933,Green Top Hold (plasma),Blood,Chemistry,LabTest
lt_50940,50940,Hepatitis B Surface Antibody,Blood,Chemistry,LabTest
lt_50941,50941,Hepatitis B Surface Antigen,Blood,Chemistry,LabTest
lt_51598,51598,Cytomegalovirus Viral Load,Blood,Chemistry,LabTest
lt_51601,51601,Delete,Blood,Chemistry,LabTest
lt_53129,53129,3t,Blood,Chemistry,LabTest
lt_53137,53137,Afp Mom,Blood,Chemistry,LabTest
lt_51648,51648,Hepatitis B Viral Load,Blood,Chemistry,LabTest
lt_51704,51704,Platelet Count,Blood,Chemistry,LabTest
lt_51735,51735,STX4,Blood,Chemistry,LabTest
lt_51763,51763,EE2,Blood,Chemistry,LabTest
lt_53087,53087,Amylase,Blood,Chemistry,LabTest
lt_53141,53141,Alpha-1,Blood,Chemistry,LabTest
lt_53143,53143,Alpha-2,Blood,Chemistry,LabTest
lt_50865,50865,Amikacin,Blood,Chemistry,LabTest
lt_50885,50885,"Bilirubin, Total",Blood,Chemistry,LabTest
lt_50921,50921,Estradiol,Blood,Chemistry,LabTest
lt_51609,51609,Disopyramide,Blood,Chemistry,LabTest
lt_51617,51617,Epstein-Barr Virus IgM Ab Value,Blood,Chemistry,LabTest
lt_51621,51621,Ethylene Glycol,Blood,Chemistry,LabTest
lt_51623,51623,Fibrinogen,Blood,Chemistry,LabTest
lt_51632,51632,Growth Hormone,Blood,Chemistry,LabTest
lt_51643,51643,Hemoglobin  A2,Blood,Chemistry,LabTest
lt_51664,51664,HPE8,Blood,Chemistry,LabTest
lt_51770,51770,MDRDgfr,Blood,Chemistry,LabTest
lt_52623,52623,Sodium,Blood,Chemistry,LabTest
lt_53128,53128,11-Deoxycorticosterone,Blood,Chemistry,LabTest
lt_50857,50857,Acetone,Blood,Chemistry,LabTest
lt_50907,50907,"Cholesterol, Total",Blood,Chemistry,LabTest
lt_50994,50994,Thyroxine (T4),Blood,Chemistry,LabTest
lt_51005,51005,Uptake Ratio,Blood,Chemistry,LabTest
lt_51575,51575,C1q,Blood,Chemistry,LabTest
lt_51678,51678,L,Blood,Chemistry,LabTest
lt_51725,51725,Rubeola IgG Ab,Blood,Chemistry,LabTest
lt_51726,51726,Rubeola IgG Ab Value,Blood,Chemistry,LabTest
lt_51762,51762,EE1,Blood,Chemistry,LabTest
lt_53142,53142,Alpha-1-antitrypsin,Blood,Chemistry,LabTest
lt_50884,50884,"Bilirubin, Indirect",Blood,Chemistry,LabTest
lt_50931,50931,Glucose,Blood,Chemistry,LabTest
lt_50952,50952,Iron,Blood,Chemistry,LabTest
lt_50968,50968,"Phenytoin, Free",Blood,Chemistry,LabTest
lt_51647,51647,Hemoglobin  S,Blood,Chemistry,LabTest
lt_51680,51680,"LD, Isoenzyme 1",Blood,Chemistry,LabTest
lt_51682,51682,"LD, Isoenzyme 3",Blood,Chemistry,LabTest
lt_51707,51707,Progesterone,Blood,Chemistry,LabTest
lt_51750,51750,"UE3, Multiples of Median",Blood,Chemistry,LabTest
lt_50897,50897,Call,Blood,Chemistry,LabTest
lt_50908,50908,CK-MB Index,Blood,Chemistry,LabTest
lt_50954,50954,Lactate Dehydrogenase (LD),Blood,Chemistry,LabTest
lt_50978,50978,Rapamycin,Blood,Chemistry,LabTest
lt_50984,50984,Stat,Blood,Chemistry,LabTest
lt_51618,51618,Epstein-Barr Virus Interpretation,Blood,Chemistry,LabTest
lt_51690,51690,Lymphocytes,Blood,Chemistry,LabTest
lt_51733,51733,STX2,Blood,Chemistry,LabTest
lt_51751,51751,Uncon Bil,Blood,Chemistry,LabTest
lt_53147,53147,Anti Hbc,Blood,Chemistry,LabTest
lt_53154,53154,Lactate,Blood,Chemistry,LabTest
lt_50860,50860,"AFP, Maternal Screen",Blood,Chemistry,LabTest
lt_50877,50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry,LabTest
lt_51562,51562,Anti-Skin Antibody,Blood,Chemistry,LabTest
lt_51578,51578,C6,Blood,Chemistry,LabTest
lt_51645,51645,"Hemoglobin, Calculated",Blood,Chemistry,LabTest
lt_51669,51669,Htlv Ab,Blood,Chemistry,LabTest
lt_51688,51688,Lyme C6 Ab,Blood,Chemistry,LabTest
lt_51694,51694,Mumps IgG Ab Value,Blood,Chemistry,LabTest
lt_51717,51717,Reserved,Blood,Chemistry,LabTest
lt_51722,51722,RFXLDLM,Blood,Chemistry,LabTest
lt_52569,52569,Glucose,Blood,Chemistry,LabTest
lt_52647,52647,Urea Nitrogen,Blood,Chemistry,LabTest
lt_53094,53094,HBV VL CT,Blood,Chemistry,LabTest
lt_50898,50898,Cancer Antigen 27.29,Blood,Chemistry,LabTest
lt_50904,50904,"Cholesterol, HDL",Blood,Chemistry,LabTest
lt_50946,50946,Human Chorionic Gonadotropin,Blood,Chemistry,LabTest
lt_50971,50971,Potassium,Blood,Chemistry,LabTest
lt_50975,50975,Protein Electrophoresis,Blood,Chemistry,LabTest
lt_51000,51000,Triglycerides,Blood,Chemistry,LabTest
lt_51573,51573,Bromide,Blood,Chemistry,LabTest
lt_51610,51610,Dlta Bili,Blood,Chemistry,LabTest
lt_51612,51612,Dr. X,Blood,Chemistry,LabTest
lt_51627,51627,Free Lambda,Blood,Chemistry,LabTest
lt_51656,51656,Hlap,Blood,Chemistry,LabTest
lt_53096,53096,"Protein, Total",Blood,Chemistry,LabTest
lt_50882,50882,Bicarbonate,Blood,Chemistry,LabTest
lt_50888,50888,Blue Top Hold Frozen,Blood,Chemistry,LabTest
lt_50901,50901,Centromere,Blood,Chemistry,LabTest
lt_50992,50992,Thyroid Peroxidase Antibodies,Blood,Chemistry,LabTest
lt_51566,51566,Beta,Blood,Chemistry,LabTest
lt_51584,51584,Chylomicrons,Blood,Chemistry,LabTest
lt_51599,51599,D,Blood,Chemistry,LabTest
lt_51744,51744,Toxoplasma IgM Ab Value,Blood,Chemistry,LabTest
lt_50890,50890,C3,Blood,Chemistry,LabTest
lt_50916,50916,DHEA-Sulfate,Blood,Chemistry,LabTest
lt_50935,50935,Haptoglobin,Blood,Chemistry,LabTest
lt_51593,51593,Copper,Blood,Chemistry,LabTest
lt_51606,51606,Digitoxin,Blood,Chemistry,LabTest
lt_51668,51668,Hsap,Blood,Chemistry,LabTest
lt_53138,53138,(Albumin),Blood,Chemistry,LabTest
lt_50864,50864,Alpha-Fetoprotein,Blood,Chemistry,LabTest
lt_50938,50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry,LabTest
