medicationId:ID,drugName,:LABEL
med_0,Fentanyl Citrate,Medication
med_1,Lorazepam,Medication
med_2,Midazolam,Medication
med_3,Insulin Pump (Self Administering Medication),Medication
med_4,Propofol,Medication
med_5,Insulin,Medication
med_6,Albuterol 0.083% Neb Soln,Medication
med_7,Calcium Gluconate sliding scale (Critical Care-Ionized calcium),Medication
med_8,Vancomycin,Medication
med_9,venetoclax,Medication
med_10,ruxolitinib,Medication
med_11,vancomycin,Medication
med_12,Lenalidomide (Revlimide)15mg,Medication
med_13,Bag,Medication
med_14,Multivitamins,Medication
med_15,Tuberculin Protein,Medication
med_16,Syringe,Medication
med_17,Click Change <--- to Choose a Base Solution,Medication
med_18,Acetaminophen-Caff-Butalbital,Medication
med_19,Neutra-Phos,Medication
med_20,OxyCODONE--Acetaminophen (5mg-325mg),Medication
med_21,Oxycodone-Acetaminophen,Medication
med_22,Oxycodone-Acetaminophen (5mg-325mg),Medication
med_23,Tiotropium Bromide,Medication
med_24,Vial,Medication
med_25,ALPRAZolam,Medication
med_26,Zolpidem Tartrate,Medication
med_27,Amlodipine,Medication
med_28,amLODIPine,Medication
med_29,Ampicillin Sodium,Medication
med_30,Apixaban,Medication
med_31,Aspirin,Medication
med_32,Sucralfate,Medication
med_33,CloNIDine,Medication
med_34,CloniDINE,Medication
med_35,Chlorpheniramine Maleate,Medication
med_36,ClonazePAM,Medication
med_37,Clonazepam,Medication
med_38,Colchicine,Medication
med_39,Dexamethasone,Medication
med_40,Diazepam,Medication
med_41,Donepezil,Medication
med_42,Enoxaparin Sodium,Medication
med_43,Finasteride,Medication
med_44,FoLIC Acid,Medication
med_45,Glutamine,Medication
med_46,GlyBURIDE,Medication
med_47,HYDROmorphone (Dilaudid),Medication
med_48,Isosorbide Dinitrate,Medication
med_49,Lidocaine Jelly 2% (Urojet),Medication
med_50,Lisinopril,Medication
med_51,LOPERamide,Medication
med_52,LORazepam,Medication
med_53,Methadone,Medication
med_54,Metolazone,Medication
med_55,Midodrine,Medication
med_56,Multivitamins W/minerals,Medication
med_57,Sodium Chloride,Medication
med_58,Nephrocaps,Medication
med_59,Nicotine Polacrilex,Medication
med_60,OLANZapine,Medication
med_61,Ondansetron,Medication
med_62,OxycoDONE (Immediate Release),Medication
med_63,OxyCODONE (Immediate Release),Medication
med_64,Perphenazine,Medication
med_65,Phytonadione,Medication
med_66,Prazosin,Medication
med_67,PredniSONE,Medication
med_68,Prochlorperazine,Medication
med_69,Ramelteon,Medication
med_70,Sarna Lotion,Medication
med_71,Tacrolimus,Medication
med_72,Tizanidine,Medication
med_73,Vitamin B Complex,Medication
med_74,Warfarin,Medication
med_75,AcetaZOLamide,Medication
med_76,NIFEdipine CR,Medication
med_77,Albumin 25% (12.5g / 50mL),Medication
med_78,Alprazolam,Medication
med_79,Amitriptyline,Medication
med_80,Atenolol,Medication
med_81,Atorvastatin,Medication
med_82,Aztreonam,Medication
med_83,Baclofen,Medication
med_84,Sulfameth/Trimethoprim DS,Medication
med_85,Sulfameth/Trimethoprim SS,Medication
med_86,BuPROPion,Medication
med_87,BusPIRone,Medication
med_88,Calcitriol,Medication
med_89,Calcium Gluconate,Medication
med_90,Captopril,Medication
med_91,CefazoLIN,Medication
med_92,CeFAZolin,Medication
med_93,CefePIME,Medication
med_94,CefTRIAXone,Medication
med_95,CefTAZidime,Medication
med_96,CeftriaXONE,Medication
med_97,Cetirizine,Medication
med_98,Chlorthalidone,Medication
med_99,Cinacalcet,Medication
med_100,Citalopram,Medication
med_101,Clonidine Patch 0.2 mg/24 hr,Medication
med_102,Clonidine Patch 0.3 mg/24 hr,Medication
med_103,Clopidogrel,Medication
med_104,Clotrimazole,Medication
med_105,Losartan Potassium,Medication
med_106,Cyanocobalamin,Medication
med_107,Cyclobenzaprine,Medication
med_108,Cytarabine,Medication
med_109,Diazepam - CIWA protocol,Medication
med_110,Digoxin,Medication
med_111,Diltiazem,Medication
med_112,DiphenhydrAMINE,Medication
med_113,Dronabinol,Medication
med_114,*NF* Ertapenem Sodium,Medication
med_115,Escitalopram Oxalate,Medication
med_116,Ezetimibe,Medication
med_117,Febuxostat,Medication
med_118,Fenofibrate,Medication
med_119,Fexofenadine,Medication
med_120,Furosemide,Medication
med_121,ZIPRASidone Hydrochloride,Medication
med_122,GlipiZIDE,Medication
med_123,Glucagon,Medication
med_124,Polyethylene Glycol,Medication
med_125,Golytely,Medication
med_126,Guaifenesin,Medication
med_127,HYDROmorphone,Medication
med_128,Haloperidol,Medication
med_129,Hydrocortisone Na Succ.,Medication
med_130,Hydrochlorothiazide,Medication
med_131,Heparin,Medication
med_132,Heparin (CRRT Machine Priming),Medication
med_133,HydrOXYzine,Medication
med_134,HydrALAZINE,Medication
med_135,HydrALAzine,Medication
med_136,23.4% Sodium Chloride,Medication
med_137,Isosorbide Mononitrate (Extended Release),Medication
med_138,Isosorbide Mononitrate,Medication
med_139,Insulin Human Regular,Medication
med_140,Ipratropium-Albuterol Neb,Medication
med_141,Ipratropium Bromide Neb,Medication
med_142,Potassium Chloride,Medication
med_143,Potassium Chloride Replacement (Critical Care and Oncology),Medication
med_144,Potassium Chloride (Powder),Medication
med_145,Levofloxacin,Medication
med_146,Levothyroxine Sodium,Medication
med_147,Lidocaine 5% Patch,Medication
med_148,Loratadine,Medication
med_149,Lactated Ringers,Medication
med_150,LR,Medication
med_151,Magnesium Sulfate,Medication
med_152,Meropenem,Medication
med_153,Metoclopramide,Medication
med_154,Metoprolol Tartrate,Medication
med_155,Miconazole 2% Cream,Medication
med_156,Miconazole Powder 2%,Medication
med_157,Mirtazapine,Medication
med_158,Milk of Magnesia,Medication
med_159,Morphine Sulfate (Oral Solution) 2 mg/mL,Medication
med_160,Morphine Sulfate IR,Medication
med_161,Morphine Sulfate,Medication
med_162,Morphine SR (MS Contin),Medication
med_163,Multivitamin IV,Medication
med_164,Nystatin-Triamcinolone Cream,Medication
med_165,Naloxone,Medication
med_166,Nicotine Patch,Medication
med_167,NIFEdipine,Medication
med_168,0.9% Sodium Chloride,Medication
med_169,Nitroglycerin SL,Medication
med_170,Nystatin Oral Suspension,Medication
med_171,Omeprazole,Medication
med_172,OSELTAMivir,Medication
med_173,Oseltamivir,Medication
med_174,OxyCODONE SR (OxyconTIN),Medication
med_175,Oxycodone SR (OxyconTIN),Medication
med_176,Pantoprazole,Medication
med_177,PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),Medication
med_178,Famotidine,Medication
med_179,Prasugrel,Medication
med_180,Pravastatin,Medication
med_181,Pregabalin,Medication
med_182,Propranolol,Medication
med_183,Fluoxetine,Medication
med_184,FLUoxetine,Medication
med_185,Pseudoephedrine,Medication
med_186,Psyllium Wafer,Medication
med_187,QUEtiapine Fumarate,Medication
med_188,Quetiapine Fumarate,Medication
med_189,riluzole,Medication
med_190,RISperidone,Medication
med_191,Rivaroxaban,Medication
med_192,Rosuvastatin Calcium,Medication
med_193,Senna,Medication
med_194,Sertraline,Medication
med_195,Simethicone,Medication
med_196,Simvastatin,Medication
med_197,Sodium Chloride 3% Inhalation Soln,Medication
med_198,Sotalol,Medication
med_199,Spironolactone,Medication
med_200,Sterile Water,Medication
med_201,Tamsulosin,Medication
med_202,AndroGel,Medication
med_203,TiCAGRELOR,Medication
med_204,Topiramate (Topamax),Medication
med_205,Metoprolol Succinate XL,Medication
med_206,Torsemide,Medication
med_207,TraMADOL (Ultram),Medication
med_208,TraMADol,Medication
med_209,traZODONE,Medication
med_210,TraZODone,Medication
med_211,Ampicillin-Sulbactam,Medication
med_212,Valsartan,Medication
med_213,Verapamil,Medication
med_214,Vitamin B Complex w/C,Medication
med_215,Voriconazole,Medication
med_216,Acetaminophen,Medication
med_217,Acyclovir,Medication
med_218,Albumin 25%,Medication
med_219,Albuterol Inhaler,Medication
med_220,Allopurinol,Medication
med_221,Amantadine,Medication
med_222,Amiodarone,Medication
med_223,Aspirin EC,Medication
med_224,Aspirin (Buffered),Medication
med_225,Ascorbic Acid,Medication
med_226,Amoxicillin-Clavulanic Acid,Medication
med_227,Belladonna & Opium (16.2/30mg),Medication
med_228,Benzonatate,Medication
med_229,Clarithromycin,Medication
med_230,Bisacodyl,Medication
med_231,Bupivacaine 0.1%,Medication
med_232,BuPROPion (Sustained Release),Medication
med_233,Calcium Carbonate,Medication
med_234,Calcium Acetate,Medication
med_235,Caphosol,Medication
med_236,Carvedilol,Medication
med_237,Cephalexin,Medication
med_238,Chlorhexidine Gluconate 0.12% Oral Rinse,Medication
med_239,Ciprofloxacin HCl,Medication
med_240,Cosyntropin,Medication
med_241,5% Dextrose (EXCEL BAG),Medication
med_242,Dabigatran Etexilate,Medication
med_243,Darunavir,Medication
med_244,Dextrose 50%,Medication
med_245,Digox,Medication
med_246,Divalproex (DELayed Release),Medication
med_247,DOBUTamine,Medication
med_248,Docusate Sodium,Medication
med_249,Docusate Sodium (Liquid),Medication
med_250,Docusate,Medication
med_251,Dofetilide,Medication
med_252,Opium Tincture,Medication
med_253,EPINEPHrine,Medication
med_254,Erythromycin,Medication
med_255,Esmolol,Medication
med_256,Esomeprazole sodium,Medication
med_257,Fentanyl Patch,Medication
med_258,Ferrous Sulfate,Medication
med_259,Fleet Enema,Medication
med_260,Fleet Enema (Mineral Oil),Medication
med_261,Fluconazole,Medication
med_262,Fludrocortisone Acetate,Medication
med_263,Gabapentin,Medication
med_264,Gastroview (Diatrizoate Meglumine & Sodium),Medication
med_265,Gemfibrozil,Medication
med_266,Gentamicin 0.3% Ophth. Soln,Medication
med_267,GlipiZIDE XL,Medication
med_268,Guaifenesin-Dextromethorphan,Medication
med_269,Hydroxyurea,Medication
med_270,Ibuprofen,Medication
med_271,irbesartan,Medication
med_272,Avapro,Medication
med_273,Iso-Osmotic Sodium Chloride,Medication
med_274,Sodium Polystyrene Sulfonate,Medication
med_275,Ketorolac,Medication
med_276,Labetalol,Medication
med_277,Lactulose,Medication
med_278,LamoTRIgine,Medication
med_279,LevETIRAcetam,Medication
med_280,LeVETiracetam,Medication
med_281,Hyoscyamine,Medication
med_282,Lidocaine Viscous 2%,Medication
med_283,Lidocaine Jelly 2% (Glydo),Medication
med_284,Lidocaine 1%,Medication
med_285,Lidocaine 2%,Medication
med_286,Linezolid,Medication
med_287,Aluminum-Magnesium Hydrox.-Simethicone,Medication
med_288,Nitrofurantoin Monohyd (MacroBID),Medication
med_289,Magnesium Citrate,Medication
med_290,Magnesium Oxide,Medication
med_291,Meclizine,Medication
med_292,Meperidine,Medication
med_293,Psyllium,Medication
med_294,Psyllium Powder,Medication
med_295,Metamucil Fiber Singles,Medication
med_296,Methocarbamol,Medication
med_297,MetFORMIN (Glucophage),Medication
med_298,Methylnaltrexone,Medication
med_299,MethylPREDNISolone Sodium Succ,Medication
med_300,MetRONIDAZOLE (FLagyl),Medication
med_301,MetroNIDAZOLE,Medication
med_302,5% Dextrose,Medication
med_303,MoviPrep,Medication
med_304,Sodium Bicarbonate,Medication
med_305,Naproxen,Medication
med_306,Neomycin-Polymyxin-Bacitracin,Medication
med_307,D5W,Medication
med_308,Iohexol 240,Medication
med_309,OxycoDONE Liquid,Medication
med_310,Phenazopyridine,Medication
med_311,Phosphorus,Medication
med_312,PNEUMOcoccal 23-valent polysaccharide vaccine,Medication
med_313,Pneumococcal Vac Polyvalent,Medication
med_314,Protamine Sulfate,Medication
med_315,quiniDINE Gluconate E.R.,Medication
med_316,Raltegravir,Medication
med_317,Ranitidine,Medication
med_318,sevelamer CARBONATE,Medication
med_319,Rifaximin,Medication
med_320,rifAXIMin,Medication
med_321,RiTONAvir,Medication
med_322,Scopolamine Patch,Medication
med_323,Januvia,Medication
med_324,SulfaSALAzine_,Medication
med_325,Insulin Syringe U-500,Medication
med_326,Thiamine,Medication
med_327,Diltiazem Extended-Release,Medication
med_328,Tigecycline,Medication
med_329,Trimethoprim,Medication
med_330,Ursodiol,Medication
med_331,Valproic Acid,Medication
med_332,Hydrocodone-Acetaminophen (5mg-500mg),Medication
med_333,Vitamin E,Medication
med_334,Zinc Sulfate,Medication
med_335,Acetaminophen (Liquid),Medication
med_336,Soln,Medication
med_337,Albumin 5% (12.5g / 250mL),Medication
med_338,Albumin 5% (25g / 500mL),Medication
med_339,Alteplase (Catheter Clearance),Medication
med_340,Aluminum Hydroxide Suspension,Medication
med_341,Azithromycin,Medication
med_342,Mupirocin Nasal Ointment 2%,Medication
med_343,Cepacol (Menthol),Medication
med_344,Cepacol (Sore Throat Lozenge),Medication
med_345,Cepastat (Phenol) Lozenge,Medication
med_346,Clotrimazole Cream,Medication
med_347,Estrogens Conjugated,Medication
med_348,D10W,Medication
med_349,Dexmedetomidine,Medication
med_350,Dextran 40 10% in NS,Medication
med_351,DOPamine,Medication
med_352,Doxycycline Hyclate,Medication
med_353,Vitamin D,Medication
med_354,Hydrocerin,Medication
med_355,Ferrous Sulfate (Liquid),Medication
med_356,Ferrous Gluconate,Medication
med_357,Fish Oil (Omega 3),Medication
med_358,Fosphenytoin,Medication
med_359,Gentamicin,Medication
med_360,Insulin Glargine  (CVICU Protocol),Medication
med_361,Guaifenesin ER,Medication
med_362,Hemorrhoidal Suppository,Medication
med_363,HumaLOG,Medication
med_364,Lansoprazole Oral Disintegrating Tab,Medication
med_365,Lidocaine,Medication
med_366,Lidocaine 1% (For PICC/Midline Insertions),Medication
med_367,Micafungin,Medication
med_368,Miconazole Nitrate Vag Cream 2%,Medication
med_369,Milrinone,Medication
med_370,NiCARdipine IV,Medication
med_371,Nitroglycerin,Medication
med_372,Nystatin,Medication
med_373,Octreotide Acetate,Medication
med_374,OLANZapine (Disintegrating Tablet),Medication
med_375,Ondansetron ODT,Medication
med_376,Pancrelipase 5000,Medication
med_377,Phenytoin,Medication
med_378,Phenytoin Sodium (IV),Medication
med_379,Propranolol LA,Medication
med_380,Racepinephrine,Medication
med_381,Ranitidine (Liquid),Medication
med_382,Vancomycin Oral Liquid,Medication
med_383,Vitamin D3,Medication
med_384,Filgrastim-sndz,Medication
med_385,Piperacillin-Tazobactam,Medication
med_386,Acetaminophen IV,Medication
med_387,brimonidine,Medication
med_388,Orthopedic Solution,Medication
med_389,BuPROPion XL (Once Daily),Medication
med_390,Yellow CADD Cassette,Medication
med_391,Calcium Chloride,Medication
med_392,Ciprofloxacin IV,Medication
med_393,Amino Acids 4.25%-Dextrose 5%,Medication
med_394,Clindamycin,Medication
med_395,Divalproex (EXTended Release),Medication
med_396,Sacubitril-Valsartan (24mg-26mg),Medication
med_397,Fentanyl PCA,Medication
med_398,Heparin Flush (10 units/ml),Medication
med_399,NS,Medication
med_400,Heparin Sodium,Medication
med_401,Influenza Virus Vaccine,Medication
med_402,Influenza Vaccine Quadrivalent,Medication
med_403,Lactulose Enema,Medication
med_404,Xopenex Neb,Medication
med_405,Levalbuterol Neb,Medication
med_406,Dextrose 5%,Medication
med_407,moxifloxacin,Medication
med_408,Sodium Chloride 0.9%  Flush,Medication
med_409,Niacin SR,Medication
med_410,NORepinephrine,Medication
med_411,PHENYLEPHrine,Medication
med_412,Phenylephrine,Medication
med_413,Phenytoin (Suspension),Medication
med_414,PlasmaLyte,Medication
med_415,Vancomycin Enema,Medication
med_416,Verapamil SR,Medication
med_417,Citrate Dextrose 3% (ACD-A) CRRT,Medication
med_418,Aspirin 81 mg,Medication
med_419,Blue CADD Cassette,Medication
med_420,D5 1/2NS,Medication
med_421,Epinephrine 1:1000,Medication
med_422,Epoetin Alfa,Medication
med_423,Glucose Gel,Medication
med_424,Heparin Flush (100 units/ml),Medication
med_425,0.9% Sodium Chloride (Mini Bag Plus),Medication
med_426,Sodium CITRATE 4%,Medication
med_427,Amino Acids 5%-Dextrose 15%,Medication
med_428,Phenytoin Sodium,Medication
med_429,Emtricitabine-Tenofovir (Truvada),Medication
med_430,Heparin (IABP),Medication
med_431,Potassium Chl 20 mEq / 1000 mL NS,Medication
med_432,Potassium Chl 40 mEq / 1000 mL NS,Medication
med_433,Ropivacaine 0.2%,Medication
med_434,HYDROcodone-Acetaminophen (5mg-325mg),Medication
med_435,Hydrocodone-Acetaminophen (5mg-325mg),Medication
med_436,0.83% Sodium Chloride,Medication
med_437,Potassium Chl 20 mEq / 1000 mL D5LR,Medication
med_438,Potassium Chl 20 mEq / 1000 mL D5NS,Medication
med_439,Potassium Chl 40 mEq / 1000 mL D5NS,Medication
med_440,Prismasate (B22 K4),Medication
med_441,Prismasate (B32 K2),Medication
med_442,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,Medication
med_443,Potassium Chl 40 mEq / 1000 mL D5 1/2 NS,Medication
med_444,Doxazosin,Medication
med_445,Methimazole,Medication
med_446,Ramipril,Medication
med_447,Duloxetine,Medication
med_448,Enalapril Maleate,Medication
med_449,NexIUM,Medication
med_450,Tricor,Medication
med_451,Indomethacin,Medication
med_452,Potassium Chloride Replacement (Oncology),Medication
med_453,Methylprednisolone,Medication
med_454,Nadolol,Medication
med_455,Nimodipine,Medication
med_456,NiMODipine,Medication
med_457,Paroxetine,Medication
med_458,PARoxetine,Medication
med_459,Phenytoin Infatab,Medication
med_460,Pyridoxine,Medication
med_461,Tamoxifen Citrate,Medication
med_462,Thrombin,Medication
med_463,Amoxicillin,Medication
med_464,Hydroxychloroquine Sulfate,Medication
med_465,LaMOTrigine,Medication
med_466,Neomycin Sulfate,Medication
med_467,Nitroprusside Sodium,Medication
med_468,Sodium Chloride Nasal,Medication
med_469,Vasopressin,Medication
med_470,Albumin 5%,Medication
med_471,Hepatitis B Vaccine,Medication
med_472,Ibuprofen Suspension,Medication
med_473,Rasburicase,Medication
med_474,MetFORMIN XR (Glucophage XR),Medication
med_475,Syringe (0.9% Sodium Chloride),Medication
med_476,Readi-Cat 2 (Barium Sulfate 2% Suspension),Medication
med_477,Vitamin A,Medication
med_478,ibrutinib,Medication
med_479,Olanzapine,Medication
med_480,RisperiDONE,Medication
med_481,Morphine Sulfate (Oral Soln.),Medication
med_482,Thyroid,Medication
med_483,adde,Medication
med_484,Furosemide-Heart Failure,Medication
med_485,Venetoclax,Medication
med_486,Ivermectin,Medication
med_487,DULoxetine,Medication
med_488,Bumetanide,Medication
med_489,Cefpodoxime Proxetil,Medication
med_490,Felodipine,Medication
med_491,Divalproex Sod. Sprinkles,Medication
med_492,PHENObarbital,Medication
med_493,MethylPREDNISolone Sod Succ,Medication
med_494,Desmopressin Acetate,Medication
med_495,Potassium Phosphate,Medication
med_496,Sodium Phosphate,Medication
med_497,Succinylcholine,Medication
med_498,LeVETiracetam Oral Solution,Medication
med_499,Fosaprepitant,Medication
med_500,Daptomycin,Medication
med_501,IDArubicin,Medication
med_502,Mitoxantrone,Medication
med_503,Syringe (Chemo),Medication
med_504,Insulin (Regular) for Hyperkalemia,Medication
med_505,Alteplase,Medication
med_506,Niacin,Medication
med_507,Ferric Gluconate,Medication
med_508,Tobramycin Sulfate,Medication
med_509,Syringe (Iso-Osmotic Dextrose),Medication
med_510,Pamidronate,Medication
med_511,Sodium Glycerophosphate,Medication
med_512,DAUNOrubicin,Medication
med_513,Aminocaproic Acid,Medication
med_514,Iso-Osmotic Dextrose,Medication
med_515,Clevidipine,Medication
med_516,Isotonic Sodium Chloride,Medication
med_517,Capsaicin 0.025%,Medication
med_518,Acetylcysteine 20%,Medication
med_519,Bengay Cream,Medication
med_520,Mupirocin Cream 2%,Medication
med_521,Mupirocin Ointment 2%,Medication
med_522,Syringe (SW),Medication
med_523,Neostigmine,Medication
med_524,Ketamine (For Intubation),Medication
med_525,Heparin (Hemodialysis),Medication
med_526,Methotrexate,Medication
med_527,MethylPHENIDATE (Ritalin),Medication
med_528,Atropine Sulfate,Medication
med_529,Benztropine Mesylate,Medication
med_530,Enalaprilat,Medication
med_531,Glycopyrrolate,Medication
med_532,Nitroglycerin Ointment  2%,Medication
med_533,Vecuronium Bromide,Medication
med_534,Cisatracurium Besylate,Medication
med_535,Tacrolimus Suspension,Medication
med_536,Glycopyrrolate (CVICU Reversal Protocol),Medication
med_537,Fludarabine Phosphate,Medication
med_538,Acetaminophen w/Codeine,Medication
med_539,OxycoDONE-Acetaminophen Elixir,Medication
med_540,Hydrocodone-Acetaminophen,Medication
med_541,Dexamethasone Sod Phosphate,Medication
med_542,Rocuronium,Medication
med_543,Carbamazepine,Medication
med_544,Filgrastim,Medication
med_545,Ambisome,Medication
med_546,SW,Medication
med_547,nitroglycerin,Medication
med_548,Mannitol 20%,Medication
med_549,Soln.,Medication
med_550,AcetaZOLamide Sodium,Medication
med_551,Chlorothiazide Sodium,Medication
med_552,0.9% NaCl (EXCEL/ViaFLO BAG),Medication
med_553,D5NS,Medication
med_554,Sodium Chloride 3% (Hypertonic),Medication
med_555,Decitabine,Medication
med_556,Nystatin Cream,Medication
med_557,Tucks Hemorrhoidal Oint 1%,Medication
med_558,Ipratropium Bromide MDI,Medication
med_559,Terbinafine 1% Cream,Medication
med_560,Collagenase Ointment,Medication
med_561,Dorzolamide 2%/Timolol 0.5% Ophth.,Medication
med_562,Lidocaine-Prilocaine,Medication
med_563,Fluticasone Propionate NASAL,Medication
med_564,Latanoprost 0.005% Ophth. Soln.,Medication
med_565,PrednisoLONE Acetate 1% Ophth. Susp.,Medication
med_566,Salmeterol Xinafoate Diskus (50 mcg),Medication
med_567,Aquaphor Ointment,Medication
med_568,Chloraseptic Throat Spray,Medication
med_569,Hydrocortisone Cream 2.5%,Medication
med_570,Lidocaine Jelly 2%,Medication
med_571,Sodium Fluoride 1.1% (Dental Gel),Medication
med_572,Brimonidine Tartrate 0.15% Ophth.,Medication
med_573,Clobetasol Propionate 0.05% Cream,Medication
med_574,Clobetasol Propionate 0.05% Ointment,Medication
med_575,Fluticasone Propionate 110mcg,Medication
med_576,Triamcinolone Acetonide 0.1% Cream,Medication
med_577,Triamcinolone Acetonide 0.1% Ointment,Medication
med_578,Triamcinolone Acetonide 0.025% Cream,Medication
med_579,Dexamethasone Ophthalmic Susp 0.1%,Medication
med_580,Ciprofloxacin 0.3% Ophth Soln,Medication
med_581,Lidocaine 0.5%,Medication
med_582,Dexamethasone Ophthalmic Soln 0.1%,Medication
med_583,Calcitonin Salmon,Medication
med_584,Insulin Regular Human (U-500),Medication
med_585,Neostigmine (CVICU Reversal Protocol),Medication
med_586,Promethazine,Medication
med_587,Ziprasidone Mesylate,Medication
med_588,Maalox/Lidocaine,Medication
med_589,Isosorbide Dinitrate ER,Medication
med_590,Etoposide,Medication
med_591,Sodium Chloride 0.9%,Medication
med_592,D5LR,Medication
med_593,0.45% Sodium Chloride,Medication
med_594,D5 1/4NS,Medication
med_595,HYDROmorphone-HP,Medication
med_596,Doxercalciferol,Medication
med_597,Sulfamethoxazole-Trimethoprim,Medication
med_598,Acetylcysteine (IV),Medication
med_599,CARBOplatin,Medication
med_600,Dorzolamide 2% Ophth. Soln.,Medication
med_601,Erythromycin 0.5% Ophth Oint,Medication
med_602,Maalox/Diphenhydramine/Lidocaine,Medication
med_603,GuaiFENesin,Medication
med_604,Guaifenesin-CODEINE Phosphate,Medication
med_605,Busulfan,Medication
med_606,Ipratropium-Albuterol Inhalation Spray,Medication
med_607,Oxymetazoline,Medication
med_608,Timolol Maleate 0.5%,Medication
med_609,Hydrocortisone (Rectal) 2.5% Cream,Medication
med_610,Hydrocortisone,Medication
med_611,Artificial Tear Ointment,Medication
med_612,Fluticasone-Salmeterol Diskus (250/50),Medication
med_613,Fluticasone-Salmeterol Diskus (100/50),Medication
med_614,Dextromethorphan-Guaifenesin (Sugar Free),Medication
med_615,Glycerin Supps,Medication
med_616,PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 2 and 3),Medication
med_617,PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1),Medication
med_618,PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),Medication
med_619,Heparin Dwell (1000 Units/mL),Medication
med_620,Heparin Flush (1000 units/mL),Medication
med_621,Artificial Tears,Medication
med_622,Albuterol-Ipratropium,Medication
med_623,Atropine Sulfate 1%,Medication
med_624,Artificial Tears Preserv. Free,Medication
med_625,Carbamide Peroxide 6.5%,Medication
